,ID,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
9507,1247851808070021121,"Okay, could the coronavirus possibly just kill all the stink bugs? K, thanks.",0,0,0,0,0,0,0,0,0,0,1
5450,1245202405563797504,Sigh I was watching Nick Centineo be all scruffy &amp; cute &amp; he had to go white it up &amp; spew some pro-America corona propaganda nonsense 😫,0,0,0,0,0,1,0,1,0,0,1
2579,1245166082672996353,.@Reine1996 I hope you're doing better my love. You're so going to beat this Corona bitch. Love you. 😘,1,0,1,0,0,0,0,0,0,0,0
9652,1247854727854841856,Too much of info going around especially about Covid19. Taking a break from socmed. Bye!,0,0,0,1,0,1,1,0,0,0,0
3864,1245182432569155585,i have some online orders coming in the next few days and idk how to tell my mom without her bringing up coronavirus being in my package,0,0,0,0,1,0,0,0,0,1,1
7172,1245223699558608896,tfw the fire state of dealing with rampant corona infection leaves you with no hope for humankind 😃😄😁,0,0,0,0,0,0,0,0,0,0,1
4610,1245191512616390656,A symptom of COVID-19 is lack of taste. Ive had Corona virus since I started dating.,0,0,0,0,1,0,0,0,0,0,1
6087,1245210248169820160,We take shortcut coronavirus still dey follow us bumper to bumper🤒🤒🤒,0,0,0,0,1,0,0,0,0,0,1
9416,1247849958528749570,the media is on my road filming...bc one of the bus driver's passed away from corona,0,0,0,0,0,1,0,0,1,0,0
1689,1245155277449633801,"Um, fever is not the only symptom of coronavirus, so that is hardly a comprehensive test. #maddow",0,0,0,0,1,0,0,0,0,1,0
7989,1245236409016836099,Very well said. Something good is also happening with COVID19. Let us make full use of it.,1,0,0,0,0,0,0,0,0,0,1
6306,1245212774344478720,What a vile thoroughly disgusting group of people. Corona can't kill them soon enough.,0,0,0,0,0,0,1,0,0,0,0
5252,1245200023824093191,"i'm fucking sick and i can't go to the doctor and i feel like i am dying,, glad its not corona tho",0,0,0,1,1,0,0,0,0,0,1
7892,1245235208594448385,how the government should fight the corona virus so we can have jaripeo and baile szn pinches mamones🥴😞,0,0,0,0,0,1,0,0,0,0,1
130,1245139867924934656,"Found out my cousin is graduating medical school today and going onto the front lines of corona, can I get an F on the TL",0,0,0,0,0,0,0,0,0,0,1
8637,1245246462096740355,a good April’s fool joke is saying that you have coronavirus - jaejoong probably,0,0,0,0,0,0,1,0,0,0,1
7278,1245225306241355776,Ever time I say coronavirus I gotta say it like Cardi 🤣,0,0,0,0,0,0,0,0,0,0,1
1129,1245148881597456384,@CTVNews “All major events... INCLUDING PRIDE! CORONAVIRUS IS HOMOPHOBIC!!!”,0,0,0,0,0,0,0,0,1,1,1
8011,1245236836202618881,Great sir he is our True inspiring &amp; devoted Robin Hood for India #AjitDoval #COVID19,1,1,0,0,0,0,0,0,0,0,0
